CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,sum_log10BF,log10BF_PA,POS,marker.ID,CHRN,NumSigCond_PA,log10BF_PGS,NumSigCond_PGS,log10BF_KA,NumSigCond_KA,log10BF_KGS,NumSigCond_KGS,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr08K,40981882,41001882,20001,+,spliceSite,618,102486,Pavir.8KG240350,6.741440589,1.743987696,40991882,Chr08K_40991882,15,9,1.51523096,9,1.889197034,9,1.593024899,9,40998286,41000823,2538,-,41641432,Pavir.8KG240350.1,Pavir.8KG240350.1.p,"PF08263,PF00560","PTHR27004,PTHR27004:SF12",KOG0472,2.7.11.1,NA,GO:0005515,AT4G04220.1,"AtRLP46,RLP46",receptor like protein 46,LOC_Os10g03100.1,NA,"Cf2/Cf5 disease resistance protein, putative, expressed",-6404,-8941,6404
Chr03N,9954548,9974548,20001,-,spliceSite,282,41189,Pavir.3NG204669,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9948770,9956764,7995,+,41665280,Pavir.3NG204669.1,Pavir.3NG204669.1.p,"PF01409,PF03484,PF03483",PTHR10947,NA,6.1.1.20,K01890,"GO:0043039,GO:0005737,GO:0005524,GO:0004812,GO:0000049,GO:0006432,GO:0003723,GO:0000287,GO:0004826",AT1G72550.1,NA,tRNA synthetase beta subunit family protein,LOC_Os05g48510.1,NA,"phenylalanyl-tRNA synthetase beta chain, putative, expressed",15778,7784,7784
Chr03N,9954548,9974548,20001,-,spliceSite,282,41190,Pavir.3NG204669,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9948770,9956764,7995,+,41665280,Pavir.3NG204669.1,Pavir.3NG204669.1.p,"PF01409,PF03484,PF03483",PTHR10947,NA,6.1.1.20,K01890,"GO:0043039,GO:0005737,GO:0005524,GO:0004812,GO:0000049,GO:0006432,GO:0003723,GO:0000287,GO:0004826",AT1G72550.1,NA,tRNA synthetase beta subunit family protein,LOC_Os05g48510.1,NA,"phenylalanyl-tRNA synthetase beta chain, putative, expressed",15778,7784,7784
Chr03N,9954548,9974548,20001,-,spliceSite,282,41191,Pavir.3NG205367,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9958080,9959166,1087,+,41660431,Pavir.3NG205367.1,Pavir.3NG205367.1.p,PF03073,PTHR10057,NA,NA,NA,GO:0016021,AT2G47770.1,"ATTSPO,TSPO",TSPO(outer membrane tryptophan-rich sensory protein)-related,LOC_Os05g05930.1,NA,"peripheral-type benzodiazepine receptor, putative, expressed",6468,5382,5382
Chr03N,9954548,9974548,20001,-,spliceSite,282,45354,Pavir.3NG205018,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9956940,9957871,932,-,41663271,Pavir.3NG205018.1,Pavir.3NG205018.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7608,6677,6677
Chr03N,9954548,9974548,20001,-,spliceSite,282,45355,Pavir.3NG205716,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9961255,9963403,2149,-,41659583,Pavir.3NG205716.1,Pavir.3NG205716.1.p,PF05755,"PTHR33732,PTHR33732:SF3",NA,NA,NA,NA,AT3G05500.1,NA,Rubber elongation factor protein (REF),LOC_Os05g05940.1,NA,"stress-related protein, putative, expressed",3293,1145,1145
Chr03N,9954548,9974548,20001,-,spliceSite,282,45356,Pavir.3NG205716,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9961255,9963403,2149,-,41659583,Pavir.3NG205716.1,Pavir.3NG205716.1.p,PF05755,"PTHR33732,PTHR33732:SF3",NA,NA,NA,NA,AT3G05500.1,NA,Rubber elongation factor protein (REF),LOC_Os05g05940.1,NA,"stress-related protein, putative, expressed",3293,1145,1145
Chr03N,9954548,9974548,20001,-,spliceSite,282,45357,Pavir.3NG206065,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9964000,9966301,2302,-,41659406,Pavir.3NG206065.1,Pavir.3NG206065.1.p,PF11886,"PTHR10903,PTHR10903:SF39",NA,NA,NA,NA,AT4G02510.1,"ATTOC159,PPI2,TOC159,TOC160,TOC86",translocon at the outer envelope membrane of chloroplasts 159,LOC_Os05g05950.1,NA,"TOC159, putative, expressed",548,-1753,548
Chr03N,9954548,9974548,20001,-,spliceSite,282,45358,Pavir.3NG206414,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9966302,9968630,2329,-,41666316,Pavir.3NG206414.1,Pavir.3NG206414.1.p,PF04548,"PTHR10903,PTHR10903:SF39",NA,3.6.5.2,NA,GO:0005525,AT4G02510.1,"ATTOC159,PPI2,TOC159,TOC160,TOC86",translocon at the outer envelope membrane of chloroplasts 159,LOC_Os05g05950.1,NA,"TOC159, putative, expressed",-1754,-4082,1754
Chr03N,9954548,9974548,20001,-,spliceSite,282,45359,Pavir.3NG206763,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9968643,9969795,1153,-,41663033,Pavir.3NG206763.1,Pavir.3NG206763.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4095,-5247,4095
Chr03N,9954548,9974548,20001,-,spliceSite,282,45360,Pavir.3NG207112,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9969582,9971728,2147,-,41663120,Pavir.3NG207112.1,Pavir.3NG207112.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5034,-7180,5034
Chr03N,9954548,9974548,20001,-,spliceSite,282,45361,Pavir.3NG207461,6.733787653,2.023716716,9964548,Chr03N_9964548,6,9,1.454660219,9,1.646573089,9,1.608837629,9,9971863,9972781,919,-,41659851,Pavir.3NG207461.1,Pavir.3NG207461.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7315,-8233,7315
Chr05N,42371589,42391589,20001,*,intergenic,453,NA,NA,6.727880244,1.565739128,42381589,Chr05N_42381589,10,9,1.515371424,9,1.687280076,9,1.959489616,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr04N,30929018,30949018,20001,+,spliceSite,357,55450,Pavir.4NG170000,6.720010254,1.329668827,30939018,Chr04N_30939018,8,9,1.429187431,9,2.392429371,9,1.568724625,9,30946942,30951023,4082,+,41639377,Pavir.4NG170000.2,Pavir.4NG170000.2.p,NA,"PTHR12701,PTHR12701:SF17",KOG1962,NA,K14009,"GO:0016021,GO:0006886,GO:0005783",AT5G42570.1,NA,B-cell receptor-associated 31-like,LOC_Os06g26270.1,NA,"prefoldin, putative, expressed",-7924,-12005,7924
Chr07K,30586698,30606698,20001,-,spliceSite,550,87770,Pavir.7KG121690,6.715578866,1.388718319,30596698,Chr07K_30596698,13,9,1.606500085,9,1.737742388,9,1.982618074,9,30587125,30589579,2455,+,41572504,Pavir.7KG121690.1,Pavir.7KG121690.1.p,NA,"PTHR31113,PTHR31113:SF5",NA,NA,NA,NA,AT3G19330.1,NA,Protein of unknown function (DUF677),LOC_Os03g05440.1,NA,"DUF677 domain containing protein, putative, expressed",9573,7119,7119
Chr07K,30586698,30606698,20001,-,spliceSite,550,87771,Pavir.7KG121745,6.715578866,1.388718319,30596698,Chr07K_30596698,13,9,1.606500085,9,1.737742388,9,1.982618074,9,30592521,30597558,5038,+,41575369,Pavir.7KG121745.1,Pavir.7KG121745.1.p,"PF00696,PF13837","PTHR21499,PTHR21499:SF26",NA,2.7.4.22,NA,NA,AT3G10030.1,NA,aspartate/glutamate/uridylate kinase family protein,LOC_Os04g33300.1,NA,"amino acid kinase, putative, expressed",4177,-860,860
Chr07K,30586698,30606698,20001,-,spliceSite,550,90658,Pavir.7KG121635,6.715578866,1.388718319,30596698,Chr07K_30596698,13,9,1.606500085,9,1.737742388,9,1.982618074,9,30585636,30587114,1479,-,41573649,Pavir.7KG121635.1,Pavir.7KG121635.1.p,PF06839,"PTHR33248,PTHR33248:SF2",NA,5.99.1.2,NA,GO:0008270,AT5G33393.1,NA,NA,LOC_Os02g30480.1,NA,"retrotransposon protein, putative, unclassified, expressed",11062,9584,9584
Chr07K,30586698,30606698,20001,-,spliceSite,550,90659,Pavir.7KG121801,6.715578866,1.388718319,30596698,Chr07K_30596698,13,9,1.606500085,9,1.737742388,9,1.982618074,9,30602635,30605114,2480,-,41570449,Pavir.7KG121801.1,Pavir.7KG121801.1.p,NA,"PTHR33270,PTHR33270:SF4",NA,NA,NA,NA,AT2G27830.1,NA,NA,LOC_Os02g32580.1,NA,expressed protein,-5937,-8416,5937
Chr07K,30586698,30606698,20001,-,spliceSite,550,90660,Pavir.7KG121856,6.715578866,1.388718319,30596698,Chr07K_30596698,13,9,1.606500085,9,1.737742388,9,1.982618074,9,30606546,30613792,7247,-,41573660,Pavir.7KG121856.1,Pavir.7KG121856.1.p,PF00411,"PTHR11759,PTHR11759:SF8",NA,NA,K02948,"GO:0006412,GO:0005840,GO:0003735",AT1G31817.1,NFD3,Ribosomal L18p/L5e family protein,LOC_Os03g26860.1,NA,"ribosomal protein, putative, expressed",-9848,-17094,9848
Chr07K,30586698,30606698,20001,-,spliceSite,550,90661,Pavir.7KG121856,6.715578866,1.388718319,30596698,Chr07K_30596698,13,9,1.606500085,9,1.737742388,9,1.982618074,9,30606546,30613792,7247,-,41573660,Pavir.7KG121856.1,Pavir.7KG121856.1.p,PF00411,"PTHR11759,PTHR11759:SF8",NA,NA,K02948,"GO:0006412,GO:0005840,GO:0003735",AT1G31817.1,NFD3,Ribosomal L18p/L5e family protein,LOC_Os03g26860.1,NA,"ribosomal protein, putative, expressed",-9848,-17094,9848
Chr02K,67357995,67377995,20001,+,spliceSite,164,19170,Pavir.2KG590150,6.703080135,1.40552405,67367995,Chr02K_67367995,3,9,1.439388175,9,1.945723566,9,1.912444344,9,67364147,67364871,725,+,41653240,Pavir.2KG590150.1,Pavir.2KG590150.1.p,NA,"PTHR35985,PTHR35985:SF1",NA,NA,NA,NA,AT1G02700.1,NA,NA,LOC_Os07g47840.1,NA,expressed protein,3848,3124,3124
Chr02K,67357995,67377995,20001,+,spliceSite,164,19171,Pavir.2KG589900,6.703080135,1.40552405,67367995,Chr02K_67367995,3,9,1.439388175,9,1.945723566,9,1.912444344,9,67376181,67377956,1776,+,41651446,Pavir.2KG589900.2,Pavir.2KG589900.2.p,NA,"PTHR31945,PTHR31945:SF18",NA,NA,NA,NA,AT2G40435.1,NA,NA,LOC_Os07g47960.1,NA,"basic helix-loop-helix domain containing protein, expressed",-8186,-9961,8186
Chr02K,67357995,67377995,20001,+,spliceSite,164,19172,Pavir.2KG589900,6.703080135,1.40552405,67367995,Chr02K_67367995,3,9,1.439388175,9,1.945723566,9,1.912444344,9,67376181,67377956,1776,+,41651446,Pavir.2KG589900.2,Pavir.2KG589900.2.p,NA,"PTHR31945,PTHR31945:SF18",NA,NA,NA,NA,AT2G40435.1,NA,NA,LOC_Os07g47960.1,NA,"basic helix-loop-helix domain containing protein, expressed",-8186,-9961,8186
Chr02K,67357995,67377995,20001,+,spliceSite,164,23326,Pavir.2KG590100,6.703080135,1.40552405,67367995,Chr02K_67367995,3,9,1.439388175,9,1.945723566,9,1.912444344,9,67353314,67358238,4925,-,41650815,Pavir.2KG590100.1,Pavir.2KG590100.1.p,"PF04043,PF01095","PTHR31707,PTHR31707:SF14",NA,3.1.1.11,K01051,"GO:0004857,GO:0042545,GO:0030599,GO:0005618",AT4G02320.1,NA,Plant invertase/pectin methylesterase inhibitor superfamily,LOC_Os07g47830.1,NA,"pectinesterase, putative, expressed",14681,9757,9757
Chr03K,1862963,1882963,20001,-,spliceSite,227,31919,Pavir.3KG023500,6.698930286,1.511787044,1872963,Chr03K_1872963,5,9,1.305189527,5,2.249108546,9,1.632845169,9,1866351,1869204,2854,+,41609104,Pavir.3KG023500.1,Pavir.3KG023500.1.p,PF00403,"PTHR22814,PTHR22814:SF33",KOG1603,NA,NA,"GO:0046872,GO:0030001",AT3G06130.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os11g05010.3,NA,"heavy-metal-associated domain-containing protein, putative, expressed",6612,3759,3759
Chr03K,1862963,1882963,20001,-,spliceSite,227,31920,Pavir.3KG023500,6.698930286,1.511787044,1872963,Chr03K_1872963,5,9,1.305189527,5,2.249108546,9,1.632845169,9,1866351,1869204,2854,+,41609104,Pavir.3KG023500.1,Pavir.3KG023500.1.p,PF00403,"PTHR22814,PTHR22814:SF33",KOG1603,NA,NA,"GO:0046872,GO:0030001",AT3G06130.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os11g05010.3,NA,"heavy-metal-associated domain-containing protein, putative, expressed",6612,3759,3759
Chr03K,1862963,1882963,20001,-,spliceSite,227,31921,Pavir.3KG023500,6.698930286,1.511787044,1872963,Chr03K_1872963,5,9,1.305189527,5,2.249108546,9,1.632845169,9,1866351,1869204,2854,+,41609104,Pavir.3KG023500.1,Pavir.3KG023500.1.p,PF00403,"PTHR22814,PTHR22814:SF33",KOG1603,NA,NA,"GO:0046872,GO:0030001",AT3G06130.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os11g05010.3,NA,"heavy-metal-associated domain-containing protein, putative, expressed",6612,3759,3759
Chr03K,1862963,1882963,20001,-,spliceSite,227,31922,Pavir.3KG023500,6.698930286,1.511787044,1872963,Chr03K_1872963,5,9,1.305189527,5,2.249108546,9,1.632845169,9,1866351,1869204,2854,+,41609104,Pavir.3KG023500.1,Pavir.3KG023500.1.p,PF00403,"PTHR22814,PTHR22814:SF33",KOG1603,NA,NA,"GO:0046872,GO:0030001",AT3G06130.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os11g05010.3,NA,"heavy-metal-associated domain-containing protein, putative, expressed",6612,3759,3759
Chr03K,1862963,1882963,20001,-,spliceSite,227,31923,Pavir.3KG023500,6.698930286,1.511787044,1872963,Chr03K_1872963,5,9,1.305189527,5,2.249108546,9,1.632845169,9,1866351,1869204,2854,+,41609104,Pavir.3KG023500.1,Pavir.3KG023500.1.p,PF00403,"PTHR22814,PTHR22814:SF33",KOG1603,NA,NA,"GO:0046872,GO:0030001",AT3G06130.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os11g05010.3,NA,"heavy-metal-associated domain-containing protein, putative, expressed",6612,3759,3759
Chr03K,1862963,1882963,20001,-,spliceSite,227,31924,Pavir.3KG023500,6.698930286,1.511787044,1872963,Chr03K_1872963,5,9,1.305189527,5,2.249108546,9,1.632845169,9,1866351,1869204,2854,+,41609104,Pavir.3KG023500.1,Pavir.3KG023500.1.p,PF00403,"PTHR22814,PTHR22814:SF33",KOG1603,NA,NA,"GO:0046872,GO:0030001",AT3G06130.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os11g05010.3,NA,"heavy-metal-associated domain-containing protein, putative, expressed",6612,3759,3759
Chr04K,34988908,35008908,20001,-,spliceSite,334,50191,Pavir.4KG265310,6.693118402,2.261601154,34998908,Chr04K_34998908,7,9,1.453178618,9,1.49329092,9,1.48504771,9,34996677,34998578,1902,+,41648497,Pavir.4KG265310.1,Pavir.4KG265310.1.p,PF00447,"PTHR10015,PTHR10015:SF181",NA,NA,K09419,"GO:0043565,GO:0006355,GO:0005634,GO:0003700",AT2G26150.1,"ATHSFA2,HSFA2",heat shock transcription factor A2,LOC_Os06g36930.1,NA,"HSF-type DNA-binding domain containing protein, expressed",2231,330,330
Chr04K,34988908,35008908,20001,+,spliceSite,334,52976,Pavir.4KG285300,6.693118402,2.261601154,34998908,Chr04K_34998908,7,9,1.453178618,9,1.49329092,9,1.48504771,9,35002457,35004751,2295,-,41648062,Pavir.4KG285300.1,Pavir.4KG285300.1.p,NA,"PTHR37733,PTHR37733:SF1",NA,NA,NA,NA,AT3G13780.1,NA,SMAD/FHA domain-containing protein ,LOC_Os06g36940.1,NA,expressed protein,-3549,-5843,3549
Chr01K,55832140,55852140,20001,+,spliceSite,37,3729,Pavir.1KG545300,6.692409187,1.616846974,55842140,Chr01K_55842140,1,9,1.313644813,5,2.098466317,9,1.663451083,5,55830448,55832236,1789,+,41617580,Pavir.1KG545300.1,Pavir.1KG545300.1.p,NA,NA,KOG1603,NA,NA,NA,AT5G24580.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os09g37730.1,NA,expressed protein,11692,9904,9904
Chr01K,55832140,55852140,20001,+,spliceSite,37,3730,Pavir.1KG545400,6.692409187,1.616846974,55842140,Chr01K_55842140,1,9,1.313644813,5,2.098466317,9,1.663451083,5,55834439,55835816,1378,+,41617415,Pavir.1KG545400.1,Pavir.1KG545400.1.p,NA,"PTHR22814,PTHR22814:SF100",KOG1603,NA,NA,NA,AT2G36950.1,NA,Heavy metal transport/detoxification superfamily protein ,LOC_Os02g57350.1,NA,expressed protein,7701,6324,6324
Chr01K,55832140,55852140,20001,+,spliceSite,37,3731,Pavir.1KG545550,6.692409187,1.616846974,55842140,Chr01K_55842140,1,9,1.313644813,5,2.098466317,9,1.663451083,5,55851907,55853954,2048,+,41620565,Pavir.1KG545550.1,Pavir.1KG545550.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9767,-11814,9767
Chr01K,55832140,55852140,20001,+,spliceSite,37,3732,Pavir.1KG545550,6.692409187,1.616846974,55842140,Chr01K_55842140,1,9,1.313644813,5,2.098466317,9,1.663451083,5,55851907,55853954,2048,+,41620565,Pavir.1KG545550.1,Pavir.1KG545550.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9767,-11814,9767
Chr03K,43578994,43598994,20001,-,spliceSite,251,39132,Pavir.3KG239900,6.691163439,2.000536308,43588994,Chr03K_43588994,5,9,1.385561372,9,1.621124164,9,1.683941595,9,43571308,43580731,9424,-,41608850,Pavir.3KG239900.2,Pavir.3KG239900.2.p,PF00642,"PTHR12506,PTHR12506:SF20",NA,NA,NA,GO:0046872,AT3G48440.1,NA,Zinc finger C-x8-C-x5-C-x3-H type family protein,LOC_Os12g18120.2,NA,"zinc finger C-x8-C-x5-C-x3-H type family protein, expressed",17686,8263,8263
Chr03K,43578994,43598994,20001,-,spliceSite,251,39133,Pavir.3KG240000,6.691163439,2.000536308,43588994,Chr03K_43588994,5,9,1.385561372,9,1.621124164,9,1.683941595,9,43581790,43596967,15178,-,41608731,Pavir.3KG240000.1,Pavir.3KG240000.1.p,"PF02375,PF02373","PTHR10694,PTHR10694:SF50",NA,1.14.11.27,NA,NA,AT3G48430.1,REF6,relative of early flowering 6,LOC_Os12g18150.1,NA,"ZOS12-04 - C2H2 zinc finger protein, expressed",7204,-7973,7204
Chr06N,6534364,6554364,20001,-,spliceSite,509,84981,Pavir.6NG061001,6.686568799,1.491181805,6544364,Chr06N_6544364,12,9,1.538283031,9,1.990976326,9,1.666127637,9,6546013,6548785,2773,-,41581002,Pavir.6NG061001.1,Pavir.6NG061001.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1649,-4421,1649
Chr03K,12680374,12700374,20001,-,spliceSite,236,32996,Pavir.3KG200800,6.64993452,1.530916334,12690374,Chr03K_12690374,5,9,1.309556112,9,1.724624475,9,2.084837599,9,12691927,12692337,411,+,41611146,Pavir.3KG200800.1,Pavir.3KG200800.1.p,PF04739,"PTHR10343,PTHR10343:SF51",NA,NA,K07199,"GO:0005515,GO:0043562,GO:0009744",AT2G28060.1,NA,5\'-AMP-activated protein kinase beta-2 subunit protein,LOC_Os09g20010.1,NA,"SNF1-related protein kinase regulatory subunit beta-2, putative, expressed",-1553,-1963,1553
Chr03K,12680374,12700374,20001,-,spliceSite,236,32997,Pavir.3KG200900,6.64993452,1.530916334,12690374,Chr03K_12690374,5,9,1.309556112,9,1.724624475,9,2.084837599,9,12693722,12696665,2944,+,41612920,Pavir.3KG200900.1,Pavir.3KG200900.1.p,PF00067,"PTHR24286,PTHR24286:SF28",KOG0157,1.14.13.93,NA,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT1G19630.1,CYP722A1,"cytochrome P450, family 722, subfamily A, polypeptide 1",LOC_Os05g01120.1,NA,"cytochrome P450, putative, expressed",-3348,-6291,3348
Chr03K,12680374,12700374,20001,-,spliceSite,236,32998,Pavir.3KG200900,6.64993452,1.530916334,12690374,Chr03K_12690374,5,9,1.309556112,9,1.724624475,9,2.084837599,9,12693722,12696665,2944,+,41612920,Pavir.3KG200900.1,Pavir.3KG200900.1.p,PF00067,"PTHR24286,PTHR24286:SF28",KOG0157,1.14.13.93,NA,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT1G19630.1,CYP722A1,"cytochrome P450, family 722, subfamily A, polypeptide 1",LOC_Os05g01120.1,NA,"cytochrome P450, putative, expressed",-3348,-6291,3348
Chr03K,12680374,12700374,20001,-,spliceSite,236,32999,Pavir.3KG200900,6.64993452,1.530916334,12690374,Chr03K_12690374,5,9,1.309556112,9,1.724624475,9,2.084837599,9,12693722,12696665,2944,+,41612920,Pavir.3KG200900.1,Pavir.3KG200900.1.p,PF00067,"PTHR24286,PTHR24286:SF28",KOG0157,1.14.13.93,NA,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT1G19630.1,CYP722A1,"cytochrome P450, family 722, subfamily A, polypeptide 1",LOC_Os05g01120.1,NA,"cytochrome P450, putative, expressed",-3348,-6291,3348
Chr03K,12680374,12700374,20001,-,spliceSite,236,33000,Pavir.3KG201000,6.64993452,1.530916334,12690374,Chr03K_12690374,5,9,1.309556112,9,1.724624475,9,2.084837599,9,12697463,12698924,1462,+,41611079,Pavir.3KG201000.1,Pavir.3KG201000.1.p,NA,"PTHR35491,PTHR35491:SF1",NA,2.7.11.1,NA,NA,AT5G02950.1,NA,Tudor/PWWP/MBT superfamily protein,LOC_Os12g44130.1,NA,expressed protein,-7089,-8550,7089
Chr03K,60328564,60348564,20001,-,spliceSite,267,35702,Pavir.3KG530620,6.646253925,2.195871195,60338564,Chr03K_60338564,5,9,1.333450188,9,1.675852521,9,1.441080021,9,60341267,60342814,1548,+,41614864,Pavir.3KG530620.1,Pavir.3KG530620.1.p,PF04043,NA,NA,NA,NA,GO:0004857,NA,NA,NA,LOC_Os12g40750.1,NA,"pectinesterase inhibitor domain containing protein, putative, expressed",-2703,-4250,2703
Chr03K,60328564,60348564,20001,-,spliceSite,267,35703,Pavir.3KG530800,6.646253925,2.195871195,60338564,Chr03K_60338564,5,9,1.333450188,9,1.675852521,9,1.441080021,9,60347172,60352953,5782,+,41613824,Pavir.3KG530800.2,Pavir.3KG530800.2.p,"PF13414,PF12796","PTHR22904,PTHR22904:SF326",KOG4412,NA,NA,NA,AT3G04710.3,NA,ankyrin repeat family protein,LOC_Os02g29160.1,NA,"ankyrin, putative, expressed",-8608,-14389,8608
Chr03K,60328564,60348564,20001,-,spliceSite,267,40001,Pavir.3KG530080,6.646253925,2.195871195,60338564,Chr03K_60338564,5,9,1.333450188,9,1.675852521,9,1.441080021,9,60335160,60336076,917,-,41608948,Pavir.3KG530080.1,Pavir.3KG530080.1.p,PF04043,NA,NA,NA,NA,GO:0004857,AT5G46940.1,NA,Plant invertase/pectin methylesterase inhibitor superfamily protein,LOC_Os12g40760.1,NA,expressed protein,3404,2488,2488
Chr03K,60328564,60348564,20001,-,spliceSite,267,40002,Pavir.3KG530260,6.646253925,2.195871195,60338564,Chr03K_60338564,5,9,1.333450188,9,1.675852521,9,1.441080021,9,60335906,60337624,1719,-,41615685,Pavir.3KG530260.1,Pavir.3KG530260.1.p,PF04043,NA,NA,NA,NA,GO:0004857,NA,NA,NA,LOC_Os12g40750.1,NA,"pectinesterase inhibitor domain containing protein, putative, expressed",2658,940,940
Chr03K,60328564,60348564,20001,-,spliceSite,267,40003,Pavir.3KG530440,6.646253925,2.195871195,60338564,Chr03K_60338564,5,9,1.333450188,9,1.675852521,9,1.441080021,9,60338077,60339311,1235,-,41612548,Pavir.3KG530440.1,Pavir.3KG530440.1.p,PF04043,NA,NA,NA,NA,GO:0004857,AT5G46940.1,NA,Plant invertase/pectin methylesterase inhibitor superfamily protein,LOC_Os12g40760.1,NA,expressed protein,487,-747,487
Chr02K,3181301,3201301,20001,+,spliceSite,104,15236,Pavir.2KG044000,6.638690091,1.422573841,3191301,Chr02K_3191301,3,9,1.431124413,9,1.84236118,9,1.942630657,9,3184051,3190027,5977,+,41658506,Pavir.2KG044000.1,Pavir.2KG044000.1.p,"PF03789,PF05920,PF03790,PF03791","PTHR11850,PTHR11850:SF110",KOG0773,NA,NA,"GO:0003677,GO:0006355,GO:0005634",AT4G08150.1,"BP,BP1,KNAT1",KNOTTED-like from Arabidopsis thaliana,LOC_Os07g03770.1,NA,"Homeobox domain containing protein, expressed",7250,1274,1274
Chr02K,3181301,3201301,20001,+,spliceSite,104,15237,Pavir.2KG044000,6.638690091,1.422573841,3191301,Chr02K_3191301,3,9,1.431124413,9,1.84236118,9,1.942630657,9,3184051,3190027,5977,+,41658506,Pavir.2KG044000.1,Pavir.2KG044000.1.p,"PF03789,PF05920,PF03790,PF03791","PTHR11850,PTHR11850:SF110",KOG0773,NA,NA,"GO:0003677,GO:0006355,GO:0005634",AT4G08150.1,"BP,BP1,KNAT1",KNOTTED-like from Arabidopsis thaliana,LOC_Os07g03770.1,NA,"Homeobox domain containing protein, expressed",7250,1274,1274
Chr03N,31594437,31614437,20001,-,spliceSite,304,42804,Pavir.3NG108500,6.630373023,2.012245584,31604437,Chr03N_31604437,6,9,1.462504008,9,1.585613637,9,1.570009794,9,31593385,31596635,3251,+,41659695,Pavir.3NG108500.1,Pavir.3NG108500.1.p,PF01764,"PTHR21493,PTHR21493:SF113",KOG4569,3.1.1.3,NA,GO:0006629,AT5G18640.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os05g30900.1,NA,"lipase precursor, putative, expressed",11052,7802,7802
Chr03N,31594437,31614437,20001,-,spliceSite,304,42805,Pavir.3NG108500,6.630373023,2.012245584,31604437,Chr03N_31604437,6,9,1.462504008,9,1.585613637,9,1.570009794,9,31593385,31596635,3251,+,41659695,Pavir.3NG108500.1,Pavir.3NG108500.1.p,PF01764,"PTHR21493,PTHR21493:SF113",KOG4569,3.1.1.3,NA,GO:0006629,AT5G18640.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os05g30900.1,NA,"lipase precursor, putative, expressed",11052,7802,7802
Chr03N,31594437,31614437,20001,-,spliceSite,304,42806,Pavir.3NG108500,6.630373023,2.012245584,31604437,Chr03N_31604437,6,9,1.462504008,9,1.585613637,9,1.570009794,9,31593385,31596635,3251,+,41659695,Pavir.3NG108500.1,Pavir.3NG108500.1.p,PF01764,"PTHR21493,PTHR21493:SF113",KOG4569,3.1.1.3,NA,GO:0006629,AT5G18640.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os05g30900.1,NA,"lipase precursor, putative, expressed",11052,7802,7802
